Translated,Collection
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
farm tractors|~|used farm tractors|~|selling--farm tractors|~|tractors--maintenance and repair|~|tractors--valuation|~|motor vehicles|~|motor vehicles--maintenance and repair|~|motor vehicle--registration and transfer|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
sugar plantations|~|sugar factories|~|sugarcane industry|~|sugarcane|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|orchards|~|agricultural estimating and reporting|~|cropping systems|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
sugar plantations|~|sugar factories|~|sugarcane industry|~|sugarcane|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|accounts current|~|balance of trade|~|farm management|~|commercial documents|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~|coffee--harvesting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|accounts current|~|balance of trade|~|farm management|~|commercial documents|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~|coffee--harvesting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|accounts current|~|balance of trade|~|farm management|~|commercial documents|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|accounts current|~|balance of trade|~|farm management|~|commercial documents|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|accounts current|~|balance of trade|~|farm management|~|commercial documents|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~|coffee--harvesting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~|coffee--harvesting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~| farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~|coffee--harvesting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~| farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
mutual health organizations|~|coffee plantation workers|~|agricultural laborers|~|cash flow|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|accounts current|~|balance of trade|~|farm management|~|commercial documents|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~| farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|accounts current|~|agricultural laborers|~|farm shops|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|accounts current|~|agricultural laborers|~|farm shops|~|balance of trade|~|commercial documents|~|farm management|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~|coffee--harvesting|~| farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
livestock|~|animal industry--accounting|~|livestock--breeding--Brazil|~|animal feeding|~|livestock productivity|~|wages-livestock workers|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
"coffee plantation|~|pottery industry|~|brick trade|~|selling-bricks|~|tiles, roofing|~|ceramic tiles|~|roofing, tile|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history",Ibicaba Farm Records
coffee plantations|~|coffee growers|~| farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|cash flow|~|crop yields|~|agricultural estimating and reporting|~|cropping systems|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee--processing|~|coffee growers|~|coffee--harvesting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
bookkeeping|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|agricultural laborers|~|orchards|~|oranges|~|orange industry--employees|~|checking accounts| farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
cash flow|~|crop yields|~|agricultural estimating and reporting|~|cropping systems|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
orchards|~|bookkeeping|~|account books|~|balance of trade|~|agricultural estimating and reporting|~|cropping systems|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|checking accounts|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|crop yields|~|agricultural estimating and reporting|~|cropping systems|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|checking accounts|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|sales|~|sales tax|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~|coffee--harvesting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
sugar plantations|~|sugarcane industry|~|sugarcane|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|cash flow|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
"Drawing--Private collections|~|Drawing, Brazilian|~|Monochrome drawing|~|Landscape drawing|~|Landscape drawing--19th century|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history",Ibicaba Farm Records
calendars|~|printing--calendars|~|Christian saints--Calendar|~|lunar calendars,Ibicaba Farm Records
contracts for deeds|~|articles of incorporation|~|corporate reorganizations--Law and legislation|~|corporate meetings--Law and legislation|~|corporate minutes--Law and legislation|~|notaries|~|notaries--Brazil|~|coffee plantation workers|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
"bank accounts|~|bank customers|~|banks and banking, Italian|~|banks and banking, Brazilian|~|bank buildings|~|accounts current|~|commercial documents|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history",Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|farm management|~|genealogy|~|Jews--German--genealogy|~|German--genealogy|~|Brazil--genealogy|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~| farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|coffee--harvesting|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil—history,Ibicaba Farm Records
coffee plantation|~|bookkeeping|~|coffee--harvesting|~|agricultural laborers|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil—history,Ibicaba Farm Records
real property--maps|~|topographic maps|~|farm management|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
book covers|~|book spines|~|coffee plantation|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation|~|historical costs (Accounting)|~|cost accounting|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
"electric wiring, Interior--Charts, diagrams, etc.|~|Architecture--Designs and plans--Working drawings|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history",Ibicaba Farm Records
accounts current|~|balance of trade|~|commercial documents|~|coffee plantation workers|~|checking accounts|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|accounts current|~|balance of trade|~|farm management|~|commercial documents|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantation workers|~|checking accounts|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|coffee growers|~|cash flow|~|checking accounts|~|bookkeeping|~|account books|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
government auctions|~|real property auctions|~|inventories of decedents’ estates--Brazil|~|inventories--accounting--law and legislation|~|inventories--accounting |~|inventory control--data processing|~|inheritance and succession|~|inheritance and succession--law and legislation|~|inheritance and succession--Brazil|~|bankruptcy|~|bankruptcy examiners|~|bankruptcy--Brazil|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
coffee plantations|~|guest books|~|records and correspondence|~|coffee industry--Brazil--São Paulo (State)--history|~|coffee industry--Brazil--history,Ibicaba Farm Records
Human Rights|~|Nonviolence|~|Chrisitanity and poltics|~|Hunger strikes|~|Indigenous peoples|~|Peace-building--Congresses,memoria-abierta
Human Rights|~|Nonviolence|~|Chrisitanity and poltics|~|Hunger strikes|~|Indigenous peoples|~|Peace-building--Congresses,memoria-abierta
Human Rights|~|Nonviolence|~|Christianity and politics|~|Pacifism--Religious aspects|~|Non-governmental organizations--Congresses|~|Political violence|~|Political persecution,memoria-abierta
Human Rights|~|Nonviolence|~|Christianity and politics|~|United States--Foreign Relations--Latin America|~|Pacifism--Religious aspects,memoria-abierta
"Human Rights|~|Nonviolence|~|Non-governmental organizations--Congresses|~|Counterrevolutionaries|~|Military assitance, American--Nicaragua|~|Political violence|~|Pacifism|~|Church and state",memoria-abierta
"Human Rights|~|Nonviolence|~|Church and state|~|Hunger strikes|~|Pacifism|~|Counterrevolutionaries|~|Military assitance, American--Nicaragua|~|Political violence|~|Political persecution",memoria-abierta
"Human Rights|~|Nonviolence|~|Political violence|~|Counterrevolutionaries|~|Military assitance, American--Nicaragua|~|Political persecution|~|Pacifism|~|Peace--Religious aspects|~|Political participation|~|Christianity and politics",memoria-abierta
